,0
573,15380
574,2265
575,5359
576,6237
577,2763
578,10118
579,347
580,12498
581,14685
582,8522
583,10517
584,6023
585,900
586,5502
587,8591
588,12863
589,14451
590,15358
591,5662
592,5580
593,478
594,652
595,3576
596,1592
597,1941
598,1439
599,9470
600,11379
601,5338
602,5050
603,6689
604,11480
605,11329
606,595
607,12573
608,7261
609,12991
610,11759
611,5357
612,15434
613,12434
614,11553
615,10601
616,2840
617,2284
618,9210
619,12324
620,12072
621,8192
622,5105
623,12362
624,3234
625,7100
626,679
627,15533
628,687
629,9411
630,5422
631,8710
632,14999
633,13440
634,6704
635,5824
636,2037
637,5625
638,2567
639,12996
640,11147
641,5038
642,8434
643,1370
644,11685
645,10675
646,527
647,11056
648,9799
649,4003
650,14661
651,11979
652,4708
653,1480
654,5152
655,13032
656,5306
657,13621
658,12032
659,74
660,13641
661,9876
662,941
663,9897
664,2048
665,1813
666,15277
667,13706
668,7028
669,10102
670,10252
671,1776
672,11321
673,2537
674,8612
675,10079
676,12228
677,11905
678,3070
679,10005
680,2342
681,4637
682,7723
683,13481
684,4497
685,9696
686,2873
687,4400
688,7884
689,11339
690,12076
691,11392
692,6778
693,10650
694,14241
695,7932
696,7540
697,5151
698,15062
699,4868
700,8013
701,6374
702,13580
703,6134
704,9948
705,15042
706,8047
707,2221
708,10327
709,5654
710,2145
711,6154
712,6112
713,13231
714,6140
715,9203
716,8419
717,6485
718,15363
719,11626
720,6416
721,6050
722,7297
723,13256
724,13170
725,13957
726,6674
727,7463
728,9386
729,14715
730,9121
731,6506
732,5945
733,14041
734,14794
735,13840
736,2169
737,6449
738,5841
739,7629
740,1383
741,229
742,5484
743,5873
744,9244
745,3121
746,9000
747,13634
748,12215
749,14755
750,1434
751,2625
752,2518
753,9196
754,5161
755,13986
756,9016
757,6627
758,13452
759,6168
760,8274
761,3179
762,6395
763,11586
764,14268
765,15532
766,6856
767,15428
768,7140
769,12334
770,114
771,2960
772,2476
773,14403
774,1089
775,5462
776,12452
777,352
778,14480
779,3954
780,8237
781,5971
782,15346
783,8698
784,10630
785,12104
786,12905
787,13399
788,7445
789,9454
790,5255
791,5692
792,5990
793,4188
794,11287
795,14482
796,15735
797,1025
798,6766
799,3943
800,12843
801,10662
802,5846
803,9608
804,4440
805,3963
806,13811
807,10357
808,4710
809,3816
810,1368
811,8921
812,12713
813,9043
814,7070
815,7628
816,14085
817,1338
818,481
819,997
820,7893
821,6165
822,637
823,5776
824,4152
825,10767
826,9036
827,6873
828,6822
829,1708
830,12465
831,4136
832,12984
833,10671
834,6095
835,6389
836,9163
837,9704
838,1400
839,11957
840,11532
841,14690
842,921
843,5877
844,3699
845,6934
846,13407
847,5561
848,15154
849,10624
850,12197
851,5029
852,7482
853,6869
854,14058
855,10359
856,13790
857,12313
858,11270
859,10127
860,14347
861,2669
862,11395
863,13100
864,12157
865,7928
866,14208
867,11687
868,8034
869,8498
870,10214
871,2142
872,5974
873,2751
874,6624
875,10295
876,14844
877,1955
878,3003
879,4275
880,8484
881,15144
882,5887
883,13139
884,11290
885,7251
886,12199
887,12186
888,15205
889,1518
890,7238
891,1253
892,3760
893,5308
894,1545
895,5798
896,11962
897,1828
898,669
899,1524
900,953
901,15469
902,2812
903,11912
904,6123
905,9907
906,6862
907,1043
908,14497
909,1278
910,15374
911,975
912,345
913,14139
914,1892
915,12780
916,5752
917,8852
918,14538
919,14736
920,5923
921,2077
922,9673
923,11689
924,15236
925,1829
926,1058
927,13429
928,65
929,2375
930,5818
931,1205
932,3592
933,3795
934,13952
935,1095
936,3673
937,15344
938,10836
939,1245
940,6515
941,11299
942,10383
943,14806
944,5787
945,11336
946,15240
947,48
948,8425
949,8368
950,12079
951,3809
952,9330
953,3878
954,6239
955,14138
956,8845
957,8302
958,3527
959,7907
960,8265
961,12432
962,3957
963,7619
964,10307
965,8730
966,13662
967,260
968,6859
969,8687
970,3989
971,8858
972,4727
973,3332
974,13928
975,5371
976,9754
977,4119
978,6698
979,2462
980,14447
981,9403
982,12745
983,6789
984,7116
985,318
986,13919
987,13062
988,8293
989,14644
990,15092
991,11972
992,12120
993,8896
994,14066
995,3811
996,14625
997,5046
998,13852
999,13700
1000,12057
1001,7822
1002,6189
1003,9522
1004,7731
1005,4224
1006,8452
1007,3466
1008,1039
1009,1895
1010,4991
1011,13872
1012,11048
1013,13006
1014,9670
1015,3202
1016,9476
1017,191
1018,6340
1019,7696
1020,4621
1021,13264
1022,1616
1023,11564
1024,10976
1025,5619
1026,5989
1027,2336
1028,135
1029,4750
1030,7426
1031,7839
1032,3600
1033,13830
1034,11671
1035,9176
1036,13717
1037,11697
1038,7486
1039,1018
1040,13197
1041,13861
1042,10848
1043,7726
1044,15431
1045,9310
1046,1508
1047,13737
1048,14824
1049,7818
1050,5073
1051,8077
1052,12323
1053,4756
1054,14477
1055,9311
1056,5150
1057,6027
1058,11192
1059,11588
1060,8431
1061,10734
1062,15675
1063,4851
1064,1544
1065,2671
1066,7594
1067,9560
1068,6941
1069,8297
1070,9658
1071,2747
1072,7898
1073,15578
1074,9845
1075,14765
1076,6659
1077,8596
1078,317
1079,14131
1080,13605
1081,4686
1082,5684
1083,10031
1084,6829
1085,9962
1086,1358
1087,15096
1088,1719
1089,4664
1090,8702
1091,4429
1092,10731
1093,12390
1094,10319
1095,2024
1096,6056
1097,4177
1098,15585
1099,12839
1100,11189
1101,2759
1102,10535
1103,11739
1104,7961
1105,9923
1106,1248
1107,4383
1108,2753
1109,12514
1110,8990
1111,14608
1112,7168
1113,15179
1114,7646
1115,9603
1116,14571
1117,7542
1118,4867
1119,11208
1120,1525
1121,11504
1122,1042
1123,10832
1124,155
1125,8156
1126,1435
1127,6893
1128,7048
1129,7489
1130,9877
1131,11540
1132,3286
1133,5408
1134,13787
1135,12421
1136,3853
1137,7242
1138,9556
1139,10842
1140,335
1141,1150
1142,3008
1143,856
1144,11632
1145,14964
1146,5613
1147,13235
1148,5246
1149,6530
1150,5601
1151,14366
1152,10044
1153,6748
1154,9784
1155,11803
1156,8813
1157,9633
1158,9654
1159,4546
1160,8984
1161,8158
1162,12059
1163,8769
1164,10614
1165,947
1166,13496
1167,8363
1168,9227
1169,903
1170,2374
1171,6251
1172,580
1173,1173
1174,12062
1175,11544
1176,4568
1177,11210
1178,10481
1179,12934
1180,6600
1181,1896
1182,8767
1183,12551
1184,2168
1185,945
1186,12914
1187,14002
1188,8651
1189,2294
1190,8178
1191,4141
1192,3910
1193,6298
1194,14474
1195,14753
1196,12858
1197,1798
1198,14686
1199,11786
1200,14919
1201,1903
1202,14084
1203,6291
1204,6004
1205,6376
1206,2601
1207,12040
1208,11122
1209,6318
1210,3054
1211,14302
1212,12074
1213,10208
1214,8361
1215,2917
1216,13725
1217,141
1218,13138
1219,2540
1220,5984
1221,9767
1222,2228
1223,7895
1224,14353
1225,1064
1226,11987
1227,14024
1228,143
1229,4600
1230,4111
1231,407
1232,13370
1233,525
1234,15134
1235,1483
1236,8546
1237,13129
1238,10
1239,7397
1240,13380
1241,11750
1242,6161
1243,2312
1244,14184
1245,13009
1246,4702
1247,15316
1248,6497
1249,11880
1250,7520
1251,15365
1252,8496
1253,1024
1254,2340
1255,5032
1256,86
1257,9667
1258,13824
1259,8762
1260,2721
1261,12901
1262,14032
1263,15690
1264,5695
1265,11836
1266,8175
1267,1365
1268,3089
1269,2260
1270,2075
1271,14473
1272,15614
1273,8443
1274,7002
1275,1553
1276,8914
1277,12469
1278,11989
1279,4984
1280,11475
1281,4595
1282,128
1283,11812
1284,10514
1285,12531
1286,3344
1287,8973
1288,2533
1289,7031
1290,9829
1291,5552
1292,8214
1293,12045
1294,3069
1295,13408
1296,12355
1297,9263
1298,12783
1299,6138
1300,9662
1301,3472
1302,8776
1303,9305
1304,4729
1305,3950
1306,8853
1307,14576
1308,13826
1309,584
1310,12632
1311,9525
1312,15570
1313,2701
1314,14510
1315,15111
1316,9259
1317,12094
1318,747
1319,15182
1320,15073
1321,7919
1322,10771
1323,88
1324,5128
1325,13908
1326,7052
1327,14823
1328,2204
1329,1418
1330,14609
1331,550
1332,4413
1333,3860
1334,13981
1335,3261
1336,13983
1337,9342
1338,4753
1339,7014
1340,3738
1341,15551
1342,2950
1343,6432
1344,7240
1345,11517
1346,1286
1347,748
1348,4674
1349,15210
1350,3068
1351,298
1352,7363
1353,8877
1354,11597
1355,13145
1356,6294
1357,9585
1358,12930
1359,9666
1360,13586
1361,659
1362,4113
1363,6520
1364,4980
1365,2448
1366,751
1367,14673
1368,501
1369,2415
1370,14236
1371,10552
1372,11425
1373,2060
1374,1222
1375,1723
1376,5379
1377,234
1378,10862
1379,7292
1380,8073
1381,14193
1382,5940
1383,1676
1384,6565
1385,10448
1386,6670
1387,618
1388,6938
1389,632
1390,15620
1391,2259
1392,10745
1393,2096
1394,10607
1395,5249
1396,4072
1397,6321
1398,415
1399,6792
1400,10965
1401,10323
1402,6517
1403,11303
1404,8556
1405,14682
1406,787
1407,15627
1408,10434
1409,8153
1410,11816
1411,6686
1412,6581
1413,14565
1414,9415
1415,8059
1416,14994
1417,742
1418,10129
1419,13068
1420,5791
1421,2736
1422,1720
1423,15667
1424,8476
1425,10870
1426,1445
1427,13463
1428,2946
1429,5136
1430,10255
1431,5665
1432,2205
1433,1871
1434,1809
1435,8386
1436,6819
1437,13489
1438,15222
1439,13755
1440,9380
1441,8942
1442,7045
1443,9167
1444,1507
1445,11621
1446,6232
1447,14536
1448,3917
1449,6397
1450,5174
1451,3717
1452,14274
1453,10142
1454,13480
1455,4069
1456,12743
1457,7145
1458,9773
1459,11335
1460,2435
1461,15322
1462,6325
1463,8226
1464,3526
1465,6211
1466,7527
1467,4650
1468,10541
1469,12418
1470,10104
1471,3216
1472,7376
1473,10928
1474,7707
1475,8007
1476,4437
1477,9095
1478,2743
1479,13665
1480,8646
1481,9826
1482,8834
1483,10737
1484,536
1485,9066
1486,1355
1487,10291
1488,5948
1489,1860
1490,13679
1491,4999
1492,7620
1493,6641
1494,6542
1495,4432
1496,6920
1497,10330
1498,12366
1499,13718
1500,7108
1501,12397
1502,14855
1503,12819
1504,880
1505,9061
1506,9291
1507,12644
1508,13967
1509,6118
1510,6734
1511,9920
1512,2573
1513,8152
1514,5131
1515,10176
1516,9671
1517,4360
1518,4335
1519,5777
1520,9074
1521,3056
1522,5554
1523,6434
1524,14167
1525,11975
1526,8075
1527,115
1528,7154
1529,9820
1530,1857
1531,15478
1532,13658
1533,9331
1534,14991
1535,11616
1536,15734
1537,13940
1538,13135
1539,5789
1540,5941
1541,13043
1542,922
1543,12851
1544,2663
1545,10827
1546,15067
1547,4387
1548,14763
1549,14318
1550,9490
1551,10562
1552,13103
1553,12887
1554,7040
1555,1073
1556,557
1557,319
1558,11935
1559,13812
1560,2908
1561,2785
1562,8970
1563,10302
1564,1998
1565,5633
1566,5171
1567,11895
1568,3366
1569,10853
1570,8468
1571,14312
1572,10453
1573,11503
1574,13549
1575,130
1576,1953
1577,10057
1578,104
1579,10581
1580,13374
1581,4434
1582,15186
1583,14716
1584,7119
1585,6079
1586,10611
1587,10059
1588,4647
1589,2752
1590,1995
1591,14313
1592,7767
1593,12566
1594,9934
1595,12453
1596,7105
1597,3827
1598,15565
1599,8980
1600,13335
1601,11655
1602,264
1603,14563
1604,5893
1605,8512
1606,1899
1607,14494
1608,7621
1609,7386
1610,15280
1611,14520
1612,3877
1613,4516
1614,3639
1615,5710
1616,5440
1617,8697
1618,3732
1619,3669
1620,596
1621,1458
1622,12055
1623,8348
1624,8131
1625,638
1626,2457
1627,2115
1628,8078
1629,13466
1630,11615
1631,12718
1632,8861
1633,7702
1634,13817
1635,11266
1636,2656
1637,8632
1638,8101
1639,4219
1640,8495
1641,7492
1642,15268
1643,4792
1644,1069
1645,8842
1646,7506
1647,11796
1648,9538
1649,10875
1650,11411
1651,7409
1652,14948
1653,14161
1654,3136
1655,7135
1656,8103
1657,4452
1658,10522
1659,11961
1660,10442
1661,9033
1662,11668
1663,7692
1664,11084
1665,5039
1666,4915
1667,2597
1668,1012
1669,6034
1670,10171
1671,8090
1672,11302
1673,3675
1674,699
1675,1685
1676,10175
1677,4455
1678,14532
1679,13643
1680,11603
1681,12389
1682,13878
1683,11573
1684,3925
1685,11641
1686,8286
1687,15454
1688,11644
1689,9991
1690,13778
1691,8087
1692,11459
1693,961
1694,13168
1695,6588
1696,14141
1697,7774
1698,6181
1699,8819
1700,959
1701,4554
1702,14007
1703,8736
1704,14815
1705,12982
1706,7089
1707,484
1708,11359
1709,11798
1710,14515
1711,5466
1712,7664
1713,14392
1714,7827
1715,12806
1716,10369
1717,15060
1718,9850
1719,1316
1720,11455
1721,9101
1722,11805
1723,9725
1724,4391
1725,14617
1726,10499
1727,1846
1728,7356
1729,15077
1730,8004
1731,14956
1732,4775
1733,5332
1734,13004
1735,13044
1736,4522
1737,6035
1738,13469
1739,12572
1740,3807
1741,11820
1742,10478
1743,321
1744,12320
1745,15549
1746,12307
1747,12008
1748,3506
1749,9839
1750,9025
1751,14246
1752,14408
1753,11486
1754,11883
1755,7318
1756,11029
1757,12814
1758,7665
1759,15633
1760,3508
1761,13820
1762,727
1763,5549
1764,3373
1765,9822
1766,14751
1767,11602
1768,9913
1769,13980
1770,5781
1771,11695
1772,13999
1773,11719
1774,5085
1775,2425
1776,1285
1777,13827
1778,12508
1779,8
1780,15265
1781,7129
1782,4382
1783,10466
1784,10287
1785,14796
1786,3417
1787,6084
1788,4116
1789,13540
1790,10813
1791,9698
1792,4499
1793,4815
1794,11778
1795,7385
1796,101
1797,2445
1798,7793
1799,12735
1800,3580
1801,12035
1802,7751
1803,11430
1804,723
1805,15616
1806,11939
1807,9828
1808,10858
1809,13030
1810,5228
1811,9183
1812,9293
1813,8615
1814,7475
1815,11782
1816,4524
1817,12163
1818,14437
1819,2144
1820,2337
1821,5498
1822,9910
1823,12821
1824,7872
1825,10465
1826,6185
1827,14895
1828,11155
1829,8559
1830,6042
1831,563
1832,4634
1833,15306
1834,3609
1835,14835
1836,10037
1837,13095
1838,15227
1839,9965
1840,7183
1841,2959
1842,5828
1843,2362
1844,14086
1845,8977
1846,13764
1847,7111
1848,5838
1849,11491
1850,12178
1851,11862
1852,8457
1853,8334
1854,2938
1855,11117
1856,2182
1857,11539
1858,3265
1859,576
1860,2250
1861,2040
1862,9555
1863,11196
1864,4138
1865,9302
1866,12908
1867,2934
1868,8318
1869,5598
1870,14446
1871,1489
1872,14062
1873,9863
1874,13183
1875,9450
1876,13073
1877,15492
1878,943
1879,77
1880,13047
1881,15127
1882,8241
1883,14198
1884,499
1885,1336
1886,12583
1887,980
1888,10020
1889,15064
1890,1672
1891,2137
1892,15560
1893,14263
1894,1142
1895,41
1896,7981
1897,8079
1898,14853
1899,9747
1900,14717
1901,10760
1902,8279
1903,10872
1904,4404
1905,7446
1906,10950
1907,12985
1908,5909
1909,5566
1910,2823
1911,3871
1912,491
1913,5474
1914,4540
1915,11744
1916,14633
1917,14323
1918,13735
1919,1052
1920,2529
1921,13997
1922,614
1923,10595
1924,4819
1925,14424
1926,5608
1927,5383
1928,9551
1929,2275
1930,5592
1931,11016
1932,11096
1933,11604
1934,10918
1935,15461
1936,6443
1937,14169
1938,14386
1939,3820
1940,13198
1941,7072
1942,10012
1943,1797
1944,7026
1945,3544
1946,2687
1947,721
1948,14321
1949,7714
1950,5746
1951,12007
1952,14080
1953,3730
1954,7627
1955,5360
1956,3752
1957,12860
1958,5604
1959,2311
1960,2095
1961,4574
1962,4654
1963,15542
1964,14453
1965,1201
1966,2117
1967,2289
1968,1027
1969,2755
1970,257
1971,8563
1972,7254
1973,7561
1974,7276
1975,11289
1976,476
1977,11945
1978,15643
1979,507
1980,14348
1981,10401
1982,10358
1983,369
1984,15047
1985,8367
1986,4077
1987,5500
1988,5344
1989,3115
1990,10405
1991,11106
1992,11494
1993,7593
1994,6568
1995,4179
1996,5876
1997,1982
1998,15611
1999,10501
2000,12026
2001,8232
2002,2586
2003,10717
2004,6885
2005,10243
2006,15699
2007,10782
2008,10322
2009,13988
2010,5116
2011,314
2012,5743
2013,5367
2014,4137
2015,11435
2016,9173
2017,4256
2018,9096
2019,493
2020,15491
2021,7431
2022,8315
2023,13891
2024,4148
2025,14445
2026,8012
2027,4891
2028,7974
2029,15715
2030,15539
2031,12581
2032,2000
2033,11067
2034,11227
2035,6248
2036,575
2037,2102
2038,3958
2039,8908
2040,11348
2041,13612
2042,3798
2043,886
2044,9809
2045,1697
2046,12207
2047,5100
2048,12480
2049,1769
2050,11026
2051,8893
2052,6587
2053,9645
2054,3700
2055,7994
2056,14310
2057,5949
2058,5509
2059,11728
2060,12069
2061,14540
2062,5536
2063,14426
2064,7948
2065,6312
2066,13021
2067,2849
2068,14726
2069,7055
2070,11920
2071,831
2072,11623
2073,11607
2074,9721
2075,7310
2076,4087
2077,7464
2078,276
2079,4353
2080,5995
2081,7435
2082,4323
2083,6596
2084,6865
2085,11556
2086,13701
2087,6417
2088,11965
2089,4771
2090,1002
2091,14265
2092,15499
2093,15345
2094,7536
2095,3178
2096,10303
2097,9634
2098,6547
2099,5392
2100,8247
2101,1135
2102,11467
2103,3255
2104,12653
2105,15692
2106,6634
2107,10432
2108,4733
2109,12349
2110,3828
2111,14730
2112,1889
2113,12158
2114,12118
2115,1397
2116,5539
2117,13527
2118,8398
2119,230
2120,2084
2121,343
2122,2106
2123,11519
2124,3207
2125,11779
2126,4576
2127,8573
2128,6921
2129,485
2130,5584
2131,9038
2132,11372
2133,10759
2134,10719
2135,12879
2136,2484
2137,1633
2138,10410
2139,8581
2140,3420
2141,2783
2142,3766
2143,4551
2144,3311
2145,8011
2146,12916
2147,5928
2148,13279
2149,13646
2150,15680
2151,218
2152,4914
2153,6352
2154,15362
2155,3682
2156,2071
2157,14762
2158,9269
2159,9959
2160,11716
2161,7833
2162,15437
2163,13379
2164,13793
2165,2009
2166,9142
2167,6348
2168,14500
2169,9384
2170,3302
2171,15534
2172,13338
2173,4278
2174,12314
2175,764
2176,12871
2177,4560
2178,3670
2179,6965
2180,2758
2181,5778
2182,8939
2183,11118
2184,9125
2185,15255
2186,2
2187,12416
2188,1504
2189,7114
2190,14658
2191,802
2192,15609
2193,3232
2194,1966
2195,5035
2196,1929
2197,12109
2198,11648
2199,2140
2200,14304
2201,13261
2202,255
2203,920
2204,7555
2205,544
2206,7352
2207,1268
2208,13219
2209,2111
2210,1459
2211,1020
2212,5113
2213,12353
2214,13977
2215,2151
2216,6423
2217,15366
2218,3036
2219,3281
2220,1935
2221,823
2222,790
2223,5739
2224,1408
2225,9926
2226,8625
2227,12981
2228,5982
2229,3759
2230,1341
2231,12236
2232,8236
2233,14640
2234,7158
2235,4590
2236,11789
2237,1893
2238,11493
2239,2079
2240,10874
2241,8696
2242,8351
2243,1844
2244,8960
2245,4477
2246,14581
2247,4954
2248,8173
2249,14339
2250,6486
2251,3434
2252,11488
2253,2968
2254,761
2255,13172
2256,2746
2257,13502
2258,9758
2259,170
2260,7835
2261,1450
2262,12073
2263,13075
2264,9550
2265,9207
2266,7800
2267,3270
2268,9653
2269,3978
2270,8148
2271,15697
2272,12159
2273,7695
2274,3873
2275,8550
2276,14942
2277,2636
2278,3014
2279,8778
2280,4997
2281,10942
2282,10048
2283,11889
2284,9040
2285,2047
2286,2881
2287,5356
2288,1711
2289,15098
2290,6114
2291,15352
2292,15677
2293,11837
2294,10254
2295,4366
2296,8928
2297,5279
2298,5717
2299,14924
2300,12884
2301,13780
2302,2757
2303,5540
2304,2714
2305,7456
2306,9359
2307,7237
2308,10891
2309,4127
2310,13747
2311,12119
2312,15625
2313,4798
2314,10479
2315,11399
2316,7910
2317,10370
2318,4204
2319,9314
2320,10050
2321,3826
2322,3969
2323,849
2324,15642
2325,10899
2326,6489
2327,9141
2328,992
2329,13843
2330,8672
2331,6553
2332,5082
2333,15196
2334,11843
2335,11850
2336,12295
2337,6484
2338,1371
2339,3124
2340,9893
2341,3715
2342,9280
2343,14907
2344,7218
2345,7398
2346,4731
2347,6725
2348,12502
2349,8245
2350,6665
2351,11150
2352,1149
2353,7015
2354,9626
2355,3805
2356,13959
2357,8871
2358,351
2359,10698
2360,3941
2361,4279
2362,156
2363,4234
2364,7650
2365,9755
2366,2472
2367,9054
2368,11066
2369,15014
2370,9460
2371,7457
2372,7316
2373,4599
2374,12492
2375,2154
2376,13412
2377,4666
2378,5307
2379,864
2380,14315
2381,2557
2382,14225
2383,7066
2384,15476
2385,6775
2386,2993
2387,4813
2388,607
2389,7176
2390,1732
2391,11881
2392,10765
2393,15324
2394,6794
2395,11343
2396,7071
2397,8891
2398,15109
2399,10147
2400,4596
2401,395
2402,42
2403,5270
2404,14646
2405,1985
2406,9637
2407,2307
2408,10921
2409,14931
2410,9611
2411,8295
2412,13692
2413,7216
2414,14679
2415,1989
2416,8261
2417,4555
2418,6998
2419,14811
2420,7725
2421,5816
2422,3112
2423,4378
2424,6169
2425,6636
2426,12515
2427,4782
2428,13903
2429,5461
2430,1768
2431,10429
2432,768
2433,640
2434,853
2435,1291
2436,10149
2437,5016
2438,9358
2439,4352
2440,10259
2441,14852
2442,13606
2443,3238
2444,581
2445,977
2446,15555
2447,13542
2448,9683
2449,14992
2450,393
2451,752
2452,6474
2453,6152
2454,13875
2455,603
2456,12142
2457,4485
2458,5154
2459,6677
2460,4987
2461,1858
2462,2700
2463,15391
2464,781
2465,14045
2466,4357
2467,1421
2468,4535
2469,15621
2470,14404
2471,9382
2472,6028
2473,5944
2474,11065
2475,955
2476,3487
2477,2524
2478,2927
2479,635
2480,8549
2481,5203
2482,14649
2483,4979
2484,9404
2485,4677
2486,12115
2487,15239
2488,15005
2489,6305
2490,14419
2491,9836
2492,7885
2493,13559
2494,7184
2495,1952
2496,12364
2497,7076
2498,11274
2499,2008
2500,939
2501,40
2502,14082
2503,11391
2504,4970
2505,5734
2506,9115
2507,12331
2508,14997
2509,6883
2510,14213
2511,1746
2512,7365
2513,4852
2514,3762
2515,1642
2516,12556
2517,11159
2518,304
2519,106
2520,4214
2521,3083
2522,4017
2523,8038
2524,1203
2525,12170
2526,5180
2527,7339
